feature,importance,fold,seed
PCA1,820.2,2.0,42.0
PCA10,17.2,2.0,42.0
PCA11,0.4,2.0,42.0
PCA12,0.4,2.0,42.0
PCA13,0.4,2.0,42.0
PCA14,0.4,2.0,42.0
PCA15,31.4,2.0,42.0
PCA16,1.2,2.0,42.0
PCA17,1.6,2.0,42.0
PCA18,0.4,2.0,42.0
PCA19,2.6,2.0,42.0
PCA2,0.8,2.0,42.0
PCA20,0.8,2.0,42.0
PCA3,16.8,2.0,42.0
PCA4,4.6,2.0,42.0
PCA5,260.8,2.0,42.0
PCA6,321.8,2.0,42.0
PCA7,0.8,2.0,42.0
PCA8,0.4,2.0,42.0
PCA9,31.2,2.0,42.0
Season,0.0,2.0,42.0
