feature,importance,fold,seed
T1OR_median_ALL,0.0,2.0,42.0
T1OR_median_vsT2_ALL,0.0,2.0,42.0
T1OR_min_ALL,0.0,2.0,42.0
T1OR_min_vsT2_ALL,0.0,2.0,42.0
T1ORrate_max_ALL,1.0,2.0,42.0
T1ORrate_max_vsT2_ALL,0.0,2.0,42.0
T1ORrate_mean_ALL,2.2,2.0,42.0
T1ORrate_mean_vsT2_ALL,0.2,2.0,42.0
T1ORrate_median_ALL,1.0,2.0,42.0
T1ORrate_median_vsT2_ALL,0.0,2.0,42.0
T1ORrate_min_ALL,0.8,2.0,42.0
T1ORrate_min_vsT2_ALL,0.0,2.0,42.0
T1PF_max_ALL,0.0,2.0,42.0
T1PF_max_vsT2_ALL,0.2,2.0,42.0
T1PF_mean_ALL,0.2,2.0,42.0
T1PF_mean_vsT2_ALL,0.0,2.0,42.0
T1PF_median_ALL,0.0,2.0,42.0
T1PF_median_vsT2_ALL,0.0,2.0,42.0
T1PF_min_ALL,0.0,2.0,42.0
T1PF_min_vsT2_ALL,0.0,2.0,42.0
T1Stl_max_ALL,0.0,2.0,42.0
T1Stl_max_vsT2_ALL,0.0,2.0,42.0
T1Stl_mean_ALL,0.0,2.0,42.0
T1Stl_mean_vsT2_ALL,0.0,2.0,42.0
T1Stl_median_ALL,0.0,2.0,42.0
T1Stl_median_vsT2_ALL,0.0,2.0,42.0
T1Stl_min_ALL,0.0,2.0,42.0
T1Stl_min_vsT2_ALL,0.0,2.0,42.0
T1TO_max_ALL,0.0,2.0,42.0
T1TO_max_vsT2_ALL,0.0,2.0,42.0
T1TO_mean_ALL,0.0,2.0,42.0
T1TO_mean_vsT2_ALL,0.0,2.0,42.0
T1TO_median_ALL,0.0,2.0,42.0
T1TO_median_vsT2_ALL,0.0,2.0,42.0
T1TO_min_ALL,0.0,2.0,42.0
T1TO_min_vsT2_ALL,0.0,2.0,42.0
T1TRB_max_ALL,1.6,2.0,42.0
T1TRB_max_vsT2_ALL,0.0,2.0,42.0
T1TRB_mean_ALL,1.2,2.0,42.0
T1TRB_mean_vsT2_ALL,0.0,2.0,42.0
T1TRB_median_ALL,1.2,2.0,42.0
T1TRB_median_vsT2_ALL,0.0,2.0,42.0
T1TRB_min_ALL,1.0,2.0,42.0
T1TRB_min_vsT2_ALL,0.0,2.0,42.0
T1TRBrate_max_ALL,3.0,2.0,42.0
T1TRBrate_max_vsT2_ALL,0.4,2.0,42.0
T1TRBrate_mean_ALL,2.2,2.0,42.0
T1TRBrate_mean_vsT2_ALL,3.2,2.0,42.0
T1TRBrate_median_ALL,1.0,2.0,42.0
T1TRBrate_median_vsT2_ALL,0.2,2.0,42.0
T1TRBrate_min_ALL,1.2,2.0,42.0
T1TRBrate_min_vsT2_ALL,1.6,2.0,42.0
T1_seed,11.6,2.0,42.0
T1_seed_ALL,48.2,2.0,42.0
T1_seed_vsT2_ALL,37.8,2.0,42.0
T1winrate,51.0,2.0,42.0
T1winrate_ALL,38.0,2.0,42.0
T1winrate_vsT2,133.4,2.0,42.0
T1winrate_vsT2_ALL,36.4,2.0,42.0
T1winrate_vsT2_vsT2_ALL,122.0,2.0,42.0
T2Ast_max_ALL,0.0,2.0,42.0
T2Ast_max_vsT2_ALL,0.6,2.0,42.0
T2Ast_mean_ALL,0.0,2.0,42.0
T2Ast_mean_vsT2_ALL,0.4,2.0,42.0
T2Ast_median_ALL,0.0,2.0,42.0
T2Ast_median_vsT2_ALL,0.0,2.0,42.0
T2Ast_min_ALL,0.0,2.0,42.0
T2Ast_min_vsT2_ALL,0.4,2.0,42.0
T2Astrate_max_ALL,0.0,2.0,42.0
T2Astrate_max_vsT2_ALL,0.0,2.0,42.0
T2Astrate_mean_ALL,0.0,2.0,42.0
T2Astrate_mean_vsT2_ALL,0.0,2.0,42.0
T2Astrate_median_ALL,0.0,2.0,42.0
T2Astrate_median_vsT2_ALL,0.0,2.0,42.0
T2Astrate_min_ALL,0.0,2.0,42.0
T2Astrate_min_vsT2_ALL,0.0,2.0,42.0
T2Blk_max_ALL,0.0,2.0,42.0
T2Blk_max_vsT2_ALL,0.0,2.0,42.0
T2Blk_mean_ALL,0.0,2.0,42.0
T2Blk_mean_vsT2_ALL,0.0,2.0,42.0
T2Blk_median_ALL,0.0,2.0,42.0
T2Blk_median_vsT2_ALL,0.0,2.0,42.0
T2Blk_min_ALL,0.0,2.0,42.0
T2Blk_min_vsT2_ALL,0.0,2.0,42.0
T2DR_max_ALL,0.0,2.0,42.0
T2DR_max_vsT2_ALL,0.8,2.0,42.0
T2DR_mean_ALL,0.0,2.0,42.0
T2DR_mean_vsT2_ALL,0.6,2.0,42.0
T2DR_median_ALL,0.0,2.0,42.0
T2DR_median_vsT2_ALL,0.2,2.0,42.0
T2DR_min_ALL,0.0,2.0,42.0
T2DR_min_vsT2_ALL,0.8,2.0,42.0
T2DRrate_max_ALL,0.0,2.0,42.0
